City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Sao Luis De Montes Belos,BR,85.1,overcast clouds,-16.525,-50.3722,Hotel Farol
143,Sao Joao Da Barra,BR,82.4,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
151,Manado,ID,75.2,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
157,Bac Lieu,VN,76.12,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
166,Rio Grande,BR,75.2,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
167,Richards Bay,ZA,78.64,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
171,Rawson,AR,81.48,clear sky,-43.3002,-65.1023,Hosteria Sampedro
175,Saldanha,ZA,75.2,clear sky,-33.0117,17.9442,Blue Bay Lodge
176,Huarmey,PE,75.38,broken clouds,-10.0681,-78.1522,Hotel Miramar
178,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
179,Itaqui,BR,79.45,clear sky,-29.1253,-56.5531,Biasi
183,Boa Vista,BR,84.2,light rain,2.8197,-60.6733,Aipana Plaza Hotel
186,Cockburn Town,TC,76.59,clear sky,21.4612,-71.1419,Osprey Beach Hotel
189,Dingle,PH,75.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
191,Villa Carlos Paz,AR,84.0,clear sky,-31.4241,-64.4978,Monte Carlo
198,Saint-Philippe,RE,82.4,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
199,Kismayo,SO,77.45,clear sky,-0.3582,42.5454,Agan-Hotel
203,Alta Floresta,BR,77.0,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
207,Durban,ZA,80.01,broken clouds,-29.8579,31.0292,Hilton Durban
208,Adrar,MR,79.63,scattered clouds,20.5022,-10.0711,
210,Raga,SS,86.07,few clouds,8.4596,25.678,
213,Omboue,GA,82.15,light rain,-1.5746,9.2618,Hotel Olako
218,Maningrida,AU,75.47,light rain,-12.0667,134.2667,Dhukurrdji Lodge
222,Obo,CF,89.73,clear sky,5.3998,26.4869,
234,Saint-Georges,GD,82.4,broken clouds,12.0564,-61.7485,Siesta Hotel
242,West Bay,KY,80.01,broken clouds,19.3667,-81.4167,Calypso Cove
243,Hithadhoo,MV,82.89,overcast clouds,-0.6,73.0833,Scoop Guest House
246,Namibe,AO,75.2,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
249,Pitimbu,BR,87.8,few clouds,-7.4706,-34.8086,Reserva do Abiaí
250,Thinadhoo,MV,82.67,overcast clouds,0.5333,72.9333,
255,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
259,Padang,ID,78.8,scattered clouds,-0.9492,100.3543,Mercure Padang
260,Anloga,GH,89.6,few clouds,5.7947,0.8973,Pin Drop Hotel
264,Cradock,ZA,79.09,few clouds,-32.1642,25.6192,Die Hoekhuis
265,Mahebourg,MU,80.6,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
266,Hobyo,SO,76.6,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
275,Ciudad Bolivar,VE,87.51,overcast clouds,8.1222,-63.5497,Hotel Edi
280,Periyanayakkanpalaiyam,IN,77.0,haze,11.15,76.9333,Bv Machines
283,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
288,San Policarpo,PH,80.56,broken clouds,12.1791,125.5072,JM Lodge
290,Tandil,AR,90.0,clear sky,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
