City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Thinadhoo,MV,2021-02-02 21:37:30,0.5333,72.9333,82.58,69,100,5.08
106,Pangnirtung,CA,2021-02-02 21:37:30,66.1451,-65.7125,-22.0,57,20,4.61
107,Sao Joao Da Barra,BR,2021-02-02 21:37:31,-21.6403,-41.0511,78.8,69,0,20.71
108,Sambava,MG,2021-02-02 21:37:31,-14.2667,50.1667,77.2,80,69,9.24
109,Phan Thiet,VN,2021-02-02 21:36:31,10.9333,108.1,68.34,83,42,4.32
110,Araouane,ML,2021-02-02 21:37:32,18.9048,-3.5265,71.37,22,55,9.6
111,Kalmunai,LK,2021-02-02 21:37:32,7.4167,81.8167,77.23,84,100,13.96
112,Rio Grande,BR,2021-02-02 21:35:59,-32.035,-52.0986,86.0,58,40,9.22
113,Vila Do Maio,CV,2021-02-02 21:37:32,15.1333,-23.2167,71.6,64,0,14.97
114,Zemio,CF,2021-02-02 21:37:33,5.0314,25.1361,72.27,40,27,1.52
115,Dakar,SN,2021-02-02 21:36:05,14.6937,-17.4441,66.2,88,37,6.91
116,Bubaque,GW,2021-02-02 21:37:34,11.2833,-15.8333,78.42,75,0,13.27
117,Ilulissat,GL,2021-02-02 21:37:34,69.2167,-51.1,-2.2,65,53,17.27
118,Bredasdorp,ZA,2021-02-02 21:37:34,-34.5322,20.0403,60.8,82,0,5.75
119,Tucuma,BR,2021-02-02 21:37:35,-0.1833,-50.05,77.92,89,99,7.65
120,Egvekinot,RU,2021-02-02 21:37:35,66.3167,-179.1667,-0.89,92,100,12.15
121,Olindina,BR,2021-02-02 21:37:35,-11.3667,-38.3333,78.67,69,100,15.17
122,Bambous Virieux,MU,2021-02-02 21:37:35,-20.3428,57.7575,80.6,74,75,11.5
123,Sembe,CG,2021-02-02 21:37:36,1.6481,14.5806,73.18,86,36,3.02
124,Saint-Philippe,RE,2021-02-02 21:37:36,-21.3585,55.7679,80.6,74,90,3.44
125,Gat,IL,2021-02-02 21:37:36,31.61,34.7642,63.0,50,46,1.99
126,Lebanon,US,2021-02-02 21:37:37,36.2081,-86.2911,37.99,56,75,16.11
127,Ostersund,SE,2021-02-02 21:37:37,63.1792,14.6357,8.01,92,90,3.69
128,Nikolskoye,RU,2021-02-02 21:37:38,59.7035,30.7861,23.0,93,90,11.18
129,Hami,CN,2021-02-02 21:37:38,42.8,93.45,27.16,77,100,3.85
130,Olafsvik,IS,2021-02-02 21:37:38,64.8945,-23.7142,34.9,81,100,15.77
131,Kommunisticheskiy,RU,2021-02-02 21:37:39,61.6789,64.4819,4.64,93,2,5.53
132,Victoria,HK,2021-02-02 21:37:39,22.2855,114.1577,63.0,76,86,1.01
133,Kidodi,TZ,2021-02-02 21:37:32,-7.6036,37.0044,71.55,86,9,2.08
134,Tuktoyaktuk,CA,2021-02-02 21:37:39,69.4541,-133.0374,-34.6,74,1,3.44
