City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
153,La Ronge,55.1001,-105.2842,-25.6,68,3,10.36,CA,clear sky
154,Shasta Lake,40.6804,-122.3708,42.8,70,1,4.61,US,clear sky
155,Kargil,34.5667,76.1,-2.78,75,0,2.71,IN,clear sky
156,Payo,-3.7508,103.6372,73.92,94,99,2.75,ID,overcast clouds
157,Bac Lieu,9.285,105.7244,76.12,77,100,14.43,VN,overcast clouds
158,Erenhot,43.6475,111.9767,18.28,89,3,13.04,CN,clear sky
159,Mount Gambier,-37.8333,140.7667,55.4,94,90,10.36,AU,overcast clouds
160,Kaseda,31.4167,130.3167,53.58,70,99,4.36,JP,overcast clouds
161,Tuktoyaktuk,69.4541,-133.0374,-27.4,68,90,10.36,CA,light snow
162,Sitka,57.0531,-135.33,33.8,100,90,4.61,US,overcast clouds
163,San Quintin,30.4833,-115.95,55.62,75,0,4.29,MX,clear sky
164,Hirara,24.8,125.2833,69.51,60,97,9.19,JP,overcast clouds
165,Umm Kaddadah,13.6017,26.6876,72.99,20,0,18.12,SD,clear sky
166,Rio Grande,-32.035,-52.0986,75.2,64,75,19.57,BR,broken clouds
167,Richards Bay,-28.783,32.0377,78.64,84,25,5.75,ZA,scattered clouds
168,Hulan Ergi,47.2042,123.6333,-0.53,92,97,5.84,CN,overcast clouds
169,Hit,33.6416,42.8251,58.64,70,99,7.31,IQ,overcast clouds
170,Port Elizabeth,-33.918,25.5701,73.4,78,40,13.8,ZA,scattered clouds
171,Rawson,-43.3002,-65.1023,81.48,35,0,20.33,AR,clear sky
172,Chokurdakh,70.6333,147.9167,-14.85,88,98,13.24,RU,overcast clouds
173,Cidreira,-30.1811,-50.2056,73.15,69,89,18.41,BR,overcast clouds
174,Mangrol,21.1167,70.1167,71.28,44,0,14.27,IN,clear sky
175,Saldanha,-33.0117,17.9442,75.2,60,2,21.85,ZA,clear sky
176,Huarmey,-10.0681,-78.1522,75.38,64,70,9.84,PE,broken clouds
177,Logansport,40.7545,-86.3567,19.4,68,90,21.85,US,overcast clouds
178,Carnarvon,-24.8667,113.6333,80.6,80,90,23.02,AU,overcast clouds
179,Itaqui,-29.1253,-56.5531,79.45,49,0,13.11,BR,clear sky
180,Sombrerete,23.6333,-103.65,60.22,29,10,4.54,MX,clear sky
181,Moranbah,-22.0016,148.0466,73.76,80,95,6.51,AU,overcast clouds
182,Provideniya,64.3833,-173.3,4.86,90,100,22.1,RU,light snow
183,Boa Vista,2.8197,-60.6733,84.2,58,75,17.27,BR,light rain
184,Rangpur,25.75,89.25,68.2,39,0,1.81,BD,clear sky
